Priority,Category,Problem,Where,WhyImportant,HowToFix,Evidence
P1,ops / observability,OpenAPI generation and some boot paths зависят от состояния БД даже для read-only introspection.,backend/apps/admin_ui/app.py startup path; question warmup,Инструменты документации/CI могут деградировать на пустой БД и скрывать реальный API contract.,"Изолировать schema export from startup warmup, make docs generation side-effect free.",Live schema generation logs fallback due to missing tests table in empty sqlite DB.
P1,developer experience,README ссылается на отсутствующий VERIFICATION_COMMANDS.md.,README.md,Снижает воспроизводимость verification flow и доверие к canonical docs.,"Либо восстановить документ, либо убрать ссылку и описать команды напрямую.",README references VERIFICATION_COMMANDS.md; file not present in workspace.
P2,ai safety,Большинство AI schemas намеренно permissive; строгая JSON schema применена не везде.,backend/core/ai/schemas.py; backend/core/ai/providers/openai.py,Malformed output может тихо ухудшать UX или рекомендации без явного фейла.,Перевести high-impact AI flows на strict JSON schema + explicit validator/fallback.,schemas.py explicitly states permissive defaults for many payloads.
P2,ai governance,"AI output logging есть, но human-in-the-loop и audit of final recruiter actions не доведены до единого decision trail.",backend/core/ai/service.py; backend/domain/ai/models.py,"Сложно доказать, что AI не принимал значимые решения автоматически.",Связать AIOutput/AIRequestLog с final recruiter action/event log and explicit acceptance markers.,"AI logs and feedback tables exist, but recruiter acceptance is not universal across flows."
P2,analytics,Analytics per vacancy/source/recruiter неполные из-за отсутствия canonical application entity и fragmented state.,backend/domain/analytics.py; backend/domain/analytics_models.py,Head of recruiting не получит надёжную funnel analytics по вакансиям и каналам.,Пересобрать event taxonomy around application lifecycle and candidate-source attribution.,"analytics_events table exists, but domain joins remain candidate/telegram centric."
P2,workflow,"No-show и reactivation flows частично реализованы, но не оформлены как отдельные управляемые процессы.",backend/apps/bot/handlers/attendance.py; backend/apps/admin_ui/services/detailization.py,Потери на последних шагах воронки трудно системно вытаскивать.,Выделить explicit no-show recovery and reactivation tasks/templates/SLA.,"No-show statuses exist, but dedicated recovery workflow/module not found."
P2,messaging,"Коммуникации хранятся на уровне chat_messages, но нет отдельной message thread / delivery attempt модели для multi-channel аналитики.",backend/domain/candidates/models.py; backend/apps/admin_ui/services/chat.py,"Трудно анализировать доставку, повторные попытки и channel conversion.","Добавить message_threads, message_deliveries, provider receipts, campaign/source tags.","chat_messages store channel and payload, outbox stores queue state separately; unified delivery model absent."
P2,security/config,"В workspace есть локальный .env.local; файл игнорируется git, но требуется строгая secret hygiene around examples and tooling.",.env.local (ignored); .env.example; docker-compose.env.example,Есть риск случайного использования placeholder defaults и leakage через tooling/docs.,"Сохранить .env.local в ignore, не читать его в audit, зачистить примеры до safe placeholders only.",.env.local is gitignored; tracked examples contain secret variable names and integration env surface.
P2,security/rate-limit,"Rate limiting в dev/test часто уходит в in-memory fallback, что не соответствует production-grade distributed control.",backend/apps/admin_ui/security.py,При неверной prod конфигурации limits будут частичными и неравномерными между workers.,Сделать hard fail for production without Redis-backed rate limiter.,_build_limiter falls back to in-memory when redis storage unavailable.
P2,frontend/dead code,В SPA остались DTO/стили/контракты для удалённых candidate portal/MAX flows.,frontend/app/src/api/services/candidates.ts; frontend/app/src/app/routes/candidate-portal.css,Усложняет поддержку и мешает понять реальный supported surface.,Удалить dead frontend contracts after product decision on supported channels.,Candidate portal routes absent from main.tsx while related DTO surface remains.
P2,testing,Большой объём удалений portal/MAX-related tests в dirty workspace создаёт coverage gap до стабилизации ветки.,git status --short; tests/* related deletions,После стабилизации ветки можно потерять regression coverage по каналам и auth flows.,Перед merge провести explicit coverage review и обновить critical flow catalog.,Dirty worktree includes many deleted tests/docs for candidate portal and Max bot.
